Stockcode,Stockname,Capital reserve per share 2011 in CY,Capital reserve per share 2012 in CY,Capital reserve per share 2013 in CY,Capital reserve per share 2014 in CY,Capital reserve per share 2015 in CY,Capital reserve per share 2016 in CY,Capital reserve per share 2017 in CY,Capital reserve per share 2018 in CY,"Undistributed earnings per share
2011 in CY","Undistributed earnings per share
2012 in CY","Undistributed earnings per share
2013 in CY","Undistributed earnings per share
2014 in CY","Undistributed earnings per share
2015 in CY","Undistributed earnings per share
2016 in CY","Undistributed earnings per share
2017 in CY","Undistributed earnings per share
2018 in CY",Total Asset 2011 in CY,Total Asset 2012 in CY,Total Asset 2013 in CY,Total Asset 2014 in CY,Total Asset 2015 in CY,Total Asset 2016 in CY,Total Asset 2017 in CY,Total Asset 2018 in CY,Average ROE 2011 %,Average ROE 2012 %,Average ROE 2013 %,Average ROE 2014 %,Average ROE 2015 %,Average ROE 2016 %,Average ROE 2017 %,Average ROE 2018 %,"Stock delivery per share 2011 in Share
","Stock delivery per share 2012 in Share
","Stock delivery per share 2013 in Share
","Stock delivery per share 2014 in Share
","Stock delivery per share 2015 in Share
","Stock delivery per share 2016 in Share
","Stock delivery per share 2017 in Share
","Stock delivery per share 2018 in Share
","Stock registration date
2011","Stock registration date
2012","Stock registration date
2013","Stock registration date
2014","Stock registration date
2015","Stock registration date
2016","Stock registration date
2017","Stock registration date
2018",Ex-right Ex-dividend date 2011,Ex-right Ex-dividend date 2012,Ex-right Ex-dividend date 2013,Ex-right Ex-dividend date 2014,Ex-right Ex-dividend date 2015,Ex-right Ex-dividend date 2016,Ex-right Ex-dividend date 2017,Ex-right Ex-dividend date 2018,"Close price 2011-12-30
in CY","Close price 2012-12-31
in CY","Close price 2013-12-31
in CY","Close price 2014-12-31
in CY","Close price 2015-12-31
in CY","Close price 2016-12-30
in CY","Close price 2017-12-29
in CY","Close price 2018-12-31
in CY",Wind Industry Code,Volatility 2011 %,Volatility 2012 %,Volatility 2013 %,Volatility 2014 %,Volatility 2015 %,Volatility 2016 %,Volatility 2017 %,Volatility 2018 %,PB 2011,PB 2012,PB 2013,PB 2014,PB 2015,PB 2016,PB 2017,PB 2018
000001.SZ,平安银行,8.1075,7.8338,5.4337,4.5751,4.1461,3.2886,3.2886,3.2886,3.0965,4.5042,3.147,3.8211,3.6993,3.7358,4.6395,5.5351,"1,258,176,944,000.00","1,606,536,760,000.00","1,891,741,000,000.00","2,186,459,000,000.00","2,507,149,000,000.00","2,953,434,000,000.00","3,248,474,000,000.00","3,418,592,000,000.00",19.2441,16.9537,15.4724,16.2959,14.953,12.4283,10.9324,10.7415, ,0,0.2,0.2,0.2,0,0,0,,6/19/2013,6/11/2014,4/10/2015,6/15/2016,7/20/2017,7/11/2018,6/25/2019,,6/20/2013,6/12/2014,4/13/2015,6/16/2016,7/21/2017,7/12/2018,6/26/2019,15.59,16.02,12.25,15.84,11.99,9.1,13.3,9.38,6.24E+15,26.2137,22.9841,49.2161,32.7849,44.897,19.165,25.8434,33.6807,1.1458,1.0106,1.0122,1.3243,1.13,0.8745,1.2616,0.8231
000002.SZ,万科A,0.8043,0.7898,0.7746,0.7695,0.7397,0.749,0.7545,0.7252,1.7221,2.4272,3.3325,3.8046,4.7593,5.5439,6.9907,8.309,"296,208,440,030.05","378,801,615,075.37","479,205,323,490.54","508,408,755,415.65","611,295,567,689.29","830,674,213,924.14","1,165,346,917,804.55","1,528,579,356,474.81",19.8042,21.493,21.4872,19.0784,19.2403,19.6815,22.7952,23.4175,0,0,0,0,0,0,0,0,7/4/2012,5/15/2013,5/7/2014,7/20/2015,7/28/2016,8/28/2017,8/22/2018,8/14/2019,7/5/2012,5/16/2013,5/8/2014,7/21/2015,7/29/2016,8/29/2017,8/23/2018,8/15/2019,7.47,10.12,8.03,13.9,24.43,20.55,31.06,23.82,6.26E+15,27.412,28.4267,38.2251,35.6014,48.7564,39.0695,37.7168,42.3731,1.7514,1.9756,1.2763,1.5738,3.0356,2.2319,3.0165,1.9634
000004.SZ,国农科技,0.0073,0.0073,0.0073,0.0079,0.0079,0.0079,0.0079,0.0111,-0.242,-0.2167,-0.229,-0.1838,-0.1689,0.2991,0.4011,0.1597,"196,307,219.48","192,913,568.86","242,152,079.61","338,282,581.12","398,673,507.14","223,716,293.01","268,844,295.64","351,177,470.17",4.0436,2.6249,-1.3431,4.8519,1.5416,38.8437,6.8476,-16.9897, , , , , , , , ,,,,,,,,,,,,,,,,,8.09,8.18,11.65,15.57,45.9,44.9,22.38,16.03,6.235E+15,37.8116,41.9037,45.5075,41.6292,76.1998,42.2491,37.2736,29.3056,9.2972,9.1696,12.4338,19.5086,50.1844,37.6675,19.9774,10.8976
000005.SZ,世纪星源,0.2943,0.2943,0.2943,0.295,0.6028,0.6028,0.6503,0.6502,-0.5877,-0.5637,-0.6099,-0.5627,-0.5383,-0.4356,-0.4212,-0.2806,"1,260,586,163.19","1,319,702,418.01","1,188,653,949.18","1,366,663,807.86","2,194,008,790.39","2,527,235,374.10","2,912,099,984.28","3,121,423,378.81",1.7097,3.2818,-6.4829,6.6716,-6.0755,8.9385,1.1753,10.5847, , , , , , , , ,,,,,,,,,,,,,,,,,3.86,2.97,2.5,4.1,10.04,6.76,4.14,2.68,6.22E+15,19.7307,33.7097,34.253,38.8021,79.3408,44.0194,24.8786,36.074,5.029,4.2001,3.486,6.168,14.8179,5.6621,3.5192,2.3097
000006.SZ,深振业A,0.6024,0.5251,0.5518,0.3588,0.3588,0.3588,0.3588,0.3588,0.544,0.5607,0.8271,0.9297,1.0739,1.4164,1.7557,2.133,"8,321,974,063.40","9,343,430,259.57","9,968,160,024.99","11,753,217,519.19","12,703,504,209.26","13,170,385,529.96","13,139,931,309.25","13,536,728,184.79",16.5086,19.7354,18.4428,12.3497,9.7743,16.5687,15.2396,14.8612,0,0,0,0,0,0,0,0,7/10/2012,6/19/2013,6/6/2014,6/18/2015,6/16/2016,6/15/2017,6/21/2018,6/18/2019,7/11/2012,6/20/2013,6/9/2014,6/19/2015,6/17/2016,6/16/2017,6/22/2018,6/19/2019,4.1,4.95,4.93,7.05,11.51,9.45,9.85,5.18,6.26E+15,33.4106,40.9978,38.0909,35.4929,72.3291,48.1014,25.1965,38.9882,1.5087,2.0278,1.8137,2.212,3.8289,2.9796,2.6067,1.221
000007.SZ,全新好,1.508,1.4991,1.6706,1.8325,1.5072,1.1799,0.4532,0.4532,-1.3372,-1.2994,-1.2077,-1.3385,-0.9526,-0.6148,-0.3624,-0.9287,"362,415,187.93","789,680,006.50","657,511,920.77","680,925,246.96","480,364,514.33","514,367,695.08","442,675,592.96","385,709,995.47",4.8244,2.3488,7.3504,-8.6036,3.8658,21.0954,4.3448,-67.9362, , , , , ,0.5, , ,,,,,,5/19/2017,,,,,,,,5/22/2017,,,6.58,14.47,13.88,14.6,23.79,25.63,16.66,8.06,6.26E+15,34.1351,48.2847,47.5972,35.1612,40.7381,33.4684,20.4125,57.8733,5.5491,11.514,10.0644,8.2721,16.1041,14.8468,15.1572,8.7925
000008.SZ,神州高铁,0.9787,2.9042,0.9521,0.9521,0.1323,1.0081,1.0277,0.9968,-1.0367,-0.371,-0.1105,-0.0849,0.0664,0.2381,0.5322,0.6003,"77,236,597.09","613,829,627.28","626,625,950.69","674,028,043.80","3,589,354,694.52","8,192,656,625.83","10,678,315,229.70","10,466,364,830.02",-0.7277,12.7314,4.1213,1.3688,10.6726,11.5699,13.2206,4.5088, ,1, ,0.45, ,0,0,0,,5/27/2013,,3/12/2015,,6/1/2017,6/6/2018,6/27/2019,,5/28/2013,,3/13/2015,,6/2/2017,6/7/2018,6/28/2019,6.97,10.73,9,22.09,11.78,9.32,8.75,3.89,6.22E+15,30.4932,36.3425,47.0103,43.2878,61.8499,44.2453,22.5059,36.1029,6.9585,2.7018,5.1702,12.8037,10.2294,4.4121,3.8685,1.6069
000009.SZ,中国宝安,0.3389,0.5036,0.3608,0.1456,0.3005,0.1521,0.3658,0.3841,1.0075,1.1547,1.0938,0.9053,1.2503,0.7977,0.8397,0.9191,"11,785,629,478.31","13,171,329,970.76","13,611,801,387.92","14,725,495,570.64","18,113,933,205.77","21,622,925,841.20","27,109,464,910.13","29,849,801,106.40",10.4952,5.6917,9.4462,9.3629,19.4651,5.2409,2.8125,4.1632, ,0.05,0,0,0.1,0,0,0.2,,7/25/2013,7/8/2014,8/5/2015,7/20/2016,8/15/2017,7/26/2018,7/19/2019,,7/26/2013,7/9/2014,8/6/2015,7/21/2016,8/16/2017,7/27/2018,7/22/2019,10.9,8.8,9.45,12.95,17.96,10.36,7.23,4.31,6.22E+15,52.6438,46.4876,42.3415,40.0332,67.4855,48.4159,28.3662,39.1905,4.5263,3.3743,3.4727,5.722,6.683,5.0066,3.522,2.0233
000010.SZ,*ST美丽,0.1441,0.1653,0.2245,0.2245,1.8239,1.8239,1.8239,1.8239,-0.8178,-0.8129,-0.1876,-0.3144,-0.1847,-0.1361,-1.4307,-2.323,"238,257,898.64","239,779,833.32","1,027,789,609.41","804,218,432.41","5,174,655,863.85","4,865,760,551.42","3,105,153,052.01","3,273,278,297.36",10.1609,1.3371,0.9283,-12.7799,2.4577,1.8164,-62.9955,-92.9688, , , , , , , , ,,,,,,,,,,,,,,,,,14.63,18.7,7.67,7.4,10.1,7.69,5.42,3.26,6.22E+15, ,37.6688,42.8387,41.8128,74.359,48.4042,36.1332,47.8025,47.1623,60.6818,7.2517,7.1692,5.4938,2.8504,1.9905,3.7409
000011.SZ,深物业A,0.1074,0.2015,0.2015,0.2013,0.2013,0.2013,0.1996,0.1996,0.6819,1.1579,1.6314,2.0567,2.0695,2.4189,3.207,3.9016,"3,499,608,314.21","3,950,705,938.73","3,873,252,714.32","3,883,288,145.46","4,379,763,486.10","6,654,356,144.10","5,393,331,548.87","5,820,202,137.54",25.6892,28.5123,18.2,21.5371,7.5139,15.7353,23.3664,18.9379, , ,0,0,0,0,0,0,,,6/19/2014,6/8/2015,5/23/2016,5/25/2017,6/28/2018,5/15/2019,,,6/20/2014,6/9/2015,5/24/2016,5/26/2017,6/29/2018,5/16/2019,6.17,7.19,7.81,9.98,14.52,18.73,16.79,9.18,6.26E+15,50.8372,49.9673,43.5051,34.7763,75.8779,57.8125,39.9108,45.0153,3.1127,3.2912,2.5043,2.806,4.5523,5.3344,3.4386,2.0202
